id,credit_score,income,no_accounts,total_amount
005dae14-ead7-49aa-842d-685fb25db86e,556,15000,14,3387
005f6ef9-050d-42f7-9ef9-7fc226f19935,652,45000,11,1395
0062044e-5868-4050-bea1-90f1a012a211,674,20000,8,634
00622123-17bc-437d-ab06-cfc3bb66c59b,631,30000,9,190
0062ba49-7790-4e65-b22b-5fb4db8c5b2a,665,35000,5,868.8
0064d62f-b7c4-47ba-b603-d1bc9d2cf7bf,521,15000,5,362.69
0065976b-c65d-46d4-9cb0-2221fe6d3c4b,549,20000,4,498
00664687-6182-48b9-8f50-d7ec036be70a,634,15000,3,2000
0066b140-eefa-4e38-9f88-21345358324a,554,20000,14,599
006726ec-40e0-48a0-b6a4-81adfcc6603e,663,15000,4,699
00686680-fa46-4539-9a81-86ab417ad588,528,30000,10,1747.95
0069a33c-31ca-4a4b-b21b-7ce12b98e720,639,65000,12,1499
006d9cc1-f150-4691-9cdd-7d28635699fa,516,15000,1,599
0070e619-c09d-4c1e-8c82-4f604fa9e5f2,562,15000,14,334.35
0072fb28-1c93-49c1-966a-e5c8cda8bb60,552,10000,7,700.2
0073dfa1-00e2-49ef-b843-f5c8891d5c9e,515,35000,8,2250
0073fb90-2d42-4ba0-a33f-5c495ae0a1d9,536,20000,6,3387
0075eb24-922a-4766-8a54-7893a66f91b1,675,45000,10,933.97
00769fbc-7a4e-4194-aabe-2ed06fdbe36e,557,15000,9,692
00778d5b-bdc8-4e06-b37d-f75ec07a818e,600,40000,12,341.14
007f9bb0-0b08-4bd3-a81a-0412651fa19f,651,20000,12,644
00804692-2922-464f-bffc-a2730be8ceb3,644,20000,4,1710
0080f5c8-0590-4e95-8f06-d958dd7fb05b,564,85000,10,3600
0081139c-c287-4d1c-a45f-9b977f1a0c40,632,15000,3,1389
00817bad-4016-4875-bdfb-058d80b8c4d1,668,21000,4,3760
0082be6e-4ea4-4da0-a6b9-516a41a10c4f,636,25000,4,536.74
00838b9e-4ca6-4bc7-bdde-dea67f45aec1,580,30000,9,599
0084130a-da9e-4633-8299-aaa2afc01539,503,5000,11,519.2
00867a0a-404d-48a2-a035-4266d326f339,553,13000,9,449.1
0086f3a5-c3a5-4d6d-af36-70cb4dac73bc,574,31538,10,5056
008888cf-6699-45ae-bad1-138dfd4520b2,544,25000,4,220
00892487-ffd2-4fe6-9b34-fe91240cf36b,673,15000,5,2093.4
00897d94-4777-4679-923f-1f9aecfc9ba3,519,25000,1,333.9
008a0f0f-2ee2-4669-b106-800d36a008c6,588,18300,13,235.66
008a9ac4-8814-4cb4-a020-d21d41164658,533,20000,12,451.8
008c7e92-c055-429f-9b6c-62f3ccdb39af,614,35000,13,506.99
008c8c84-1e3e-48fd-a022-2ff9ce1e6096,659,15000,3,1750.5
008e83ee-26f8-4b45-8ffb-840e3d948924,546,35000,5,4311
008fa352-cbc0-4c82-b2ee-90bc48a6da4d,618,200000,4,424.5
00917dcb-1d68-4131-b81e-e6a5ee108232,576,15000,1,790
0092780e-fa72-436c-9bb7-1b1e30a4467f,545,25000,9,599
009318d5-2d42-4bd2-a3ee-6a14c0933743,551,15000,16,701.1
0093e8d8-7fbb-4fcf-981d-92ff3d8b65b9,593,14000,2,699
0094cf72-1dfc-4dd5-a027-091b339cb750,515,25000,12,285
0096b254-30d8-4a12-a9bd-7bc9640c39e3,631,40000,5,799
00974a6e-c457-4dda-9752-550fc89c2910,596,20000,8,399
0097ed6a-2c93-4952-bc99-8010276b3185,514,45000,6,613.86
0098ce52-713a-43c9-b96b-b2961cbd74b4,501,15000,7,900
0099183f-cbff-48d3-b33d-34e0aaaa8f99,660,25000,11,2200
0099afff-f6b7-47a7-b98a-7ea4b42398d6,679,12000,4,599
0099ce11-3090-4635-b96a-57865de4af94,520,15000,7,295
009c993f-338e-41ab-a293-c4b0f01689d4,670,35000,11,670.5
009cb847-3b47-4604-9ce3-ce48b76aa786,548,15000,11,599.2
009d0051-6922-4fed-afee-f764b58b2eb4,591,45000,3,1304.1
009e128c-54a6-4262-9416-75e555a5fb70,536,30000,19,1041.3
009e5f72-ebd4-4e54-a964-f11f02a6eec0,665,100000,12,8640
009f88fd-486d-4048-a6ac-e28c5837c6aa,544,20000,7,3672.75
009f8d12-5b15-41ab-aed2-a4caa8597f81,648,10000,9,464.4
00a04ba4-f1aa-4def-a4bc-f05d20c0c53b,526,33000,6,972
00a10721-51dd-496e-9589-97d7bdd29db4,701,20000,10,2420
00a17a4f-f408-4e0d-8077-e3cce79d3820,547,25000,6,492.3
00a3383b-f7fb-4982-922e-24cef100418f,580,20000,14,2844.47
00a33b5d-bceb-4ece-ae78-bae7765e15b0,652,40000,5,1756
00a4bb5f-81d0-4ed3-8aab-842613b9659a,507,15000,5,699
00a50a43-36c9-407a-9839-9628550e0290,536,16000,2,3519
00a6d82a-04a0-48e4-bdac-e13eb9ca7a9a,653,20000,8,599.2
00a7e6d4-9ec6-45c1-a19d-c1a753555d7d,643,60000,5,458.99
00a83e67-d8b4-4706-9034-df4fcc278395,662,18000,7,3000
00a938a0-2903-480f-b470-55de32f8ef91,545,15000,16,3397
00a9e752-0977-4254-a5c7-207faba7294d,616,55000,5,928.8
00aa3bf2-524d-4c2c-9fbe-0d392e3ccc0c,635,25000,6,521.96
00ab7bc5-c66f-4c8a-adda-303b66c864e3,544,15000,13,323.91
00acd2a8-0b29-4153-89a0-29b66745dac1,545,20000,12,1097
00adc7d9-3c62-4dd9-b7cb-da711a5e02b0,507,10000,4,3387
00af244d-80aa-4d6b-a82f-64da3efa4b4b,660,30000,8,1500
00af50f4-e3f1-47ef-93a3-75efeb6156f4,656,45000,10,739
00b1c985-d71c-4f44-9940-1c3b29231650,495,15000,12,1795.5
00b1dd54-138c-43b9-a644-1bb5d7cbaef4,615,40000,9,479
00b27164-9d4f-4135-afc1-0135fdeb4041,668,45000,6,1325
00b833cc-3cd2-438b-a1f1-725b326557b6,688,30000,5,599.2
00ba6b86-1c88-46e1-89dd-3cf6a6024d2e,670,60000,4,3196
00baab69-3249-46a1-a63b-1f4c4a638bd5,660,60000,9,639.9
00baed02-d7a4-4742-a6e9-dbdbb5800f74,674,50000,6,958.5
00bb241a-7365-421a-bee1-4dac534f05b0,515,27583,2,699
00bbadb3-7dac-475f-9199-63deff67cedf,526,35000,1,679.2
00bc8736-4e4d-4898-a289-578387becafd,627,25000,16,699
00bcd7f0-e9d5-48ec-bc29-1d06ad8d04fc,522,15000,11,749
00be238f-08cf-4cb9-a19b-03b8aa6de4a4,557,10000,1,3387
00bfbf5e-3174-45d5-a99e-bd96b27464cc,560,15000,10,2588
00c1a17e-df9a-4dbb-af75-58e0e1c2e0cf,536,20000,7,1184
00c5391b-0494-4e70-be33-ac45fe071b70,674,35000,0,494.1
00c7eed0-3c84-47e7-8c77-ed6ab3ca0795,538,26000,8,688.39
00c8ba7a-9549-45b5-a035-8c3979b632a8,520,21000,8,599
00caeac4-a4c1-4164-b15e-9bfd4fbef27d,543,20000,4,3387
00cb93e7-84c6-4695-a2de-648458dd0545,696,10000,5,2588
00cca350-90ca-4b87-b7ce-2a139a3220bb,672,15000,4,1398
00ce7802-2c9a-4e95-97ee-226a9646cb18,535,20000,13,420.24
00cfb333-4952-4b1e-bf9a-7fff23624bf7,679,35000,11,649
00d137d4-444b-4426-aaf6-3ee0790104a0,668,120000,7,629.1
00d436b7-f400-4d65-a243-247322102d00,596,5000,6,649
00d67a0a-d172-478f-bb8c-adb0b8b16601,649,70000,6,599
00d70d73-be0e-48f1-91b5-8d8a836d0537,524,25000,2,600
00d833ce-2ca6-4d34-bf88-4a228b244a85,504,20000,7,585
00d8a3cd-c820-486b-87c3-ea51cf3dc61e,626,30000,7,929.3
00d8da0a-0600-49e1-9428-2a7a23e12bef,620,10000,8,1165
00dadeb2-e13f-4526-a838-679f9ccc0e72,591,15000,4,1500
00dae493-aeed-455d-b742-8b6c92ead4b9,550,25000,2,649
00dc031d-8060-4975-b3c7-bbb06168ef4b,534,22600,8,988.2
00dd8113-cb24-49ca-8c08-c2e46c43f61c,613,20000,4,2727
00dd85c7-46af-4ac9-a622-aaf7b8dafc9e,577,25000,7,589
00de7bf6-fcc1-4103-9819-ddd7968ca3e0,623,45000,6,699
00df26b4-8c9c-4515-aeac-c24065ebf1b6,523,25000,1,1100
00dfb5e1-7092-4ea2-a882-115e796fe4c5,666,90000,11,789
00dfbd6b-b73e-478b-8a9f-f2ab17e87f91,605,13780,4,2995
00e0234c-60ff-4cd9-a3d6-9645f13f9de0,500,25000,4,629.1
00e10ef1-8ac6-4645-af32-29e76aae7858,605,32000,16,874
00e21898-0cb6-49a0-b536-b0bd2d29806b,636,20000,6,900
00e3fb67-0bff-4c16-916d-e8b935c30120,514,25000,9,337.86
00e403c9-b049-4c9a-b05c-42e75572aab7,532,15000,8,5700
00e4385a-9c62-4ecd-b64d-71f5866a1e9f,518,10000,7,3600
00e83306-86f8-4737-b5ab-f231f1efccd6,684,36000,3,699
00e8b21a-5b24-4d62-a69c-231614478f19,698,25000,6,479
00e8bd19-9b96-4083-a2c4-0b3a9f2e49b4,605,40000,2,929.3
00e91f07-bff7-4ab5-b9c8-b87aca1ac37a,589,45000,7,599
00eaa484-1542-4bd3-8c11-c157851bc9ee,591,25000,14,649
00eb0221-4abc-4357-849d-8d7baf38a980,635,25000,3,3387
00ef5b98-e78d-46c9-a68f-3937b2d01f43,640,15000,10,699
00f0ab16-7cbf-4ac5-bc9a-8cc19c67081c,627,25000,9,671.2
00f1d15d-bea5-4672-a0de-461b01a9878b,680,26400,2,3098
00f2b376-496b-42f3-962b-2c5cc8115af0,683,50000,8,754
00f38780-ea84-48fe-81c6-953c6edec85b,558,15000,7,749
00f4253b-ab79-4a2d-9983-4e23afc3307b,522,25000,7,373.5
00f61cc7-b306-49be-bf3c-ada801c2df87,544,25000,11,12150
00f87f40-6450-40cb-b69e-64ae810fd101,660,30000,7,699
00f8da5a-55c2-438c-a51b-672155754f8e,588,5000,12,629.1
00fd5c78-fca7-4974-b596-3092812e7929,581,25000,2,559
00fdfff5-33c6-4013-bf5f-cc12a3200edb,571,10000,5,265.27
00ffcdc8-3288-46db-9cd8-7fa4b8f24c5b,609,25000,4,650
00ffce9a-ab71-4d67-81bd-43a6c188f442,561,25000,8,399
010051ff-b89a-4149-a067-8fa6524a50b5,580,100000,4,854.1
01009628-102d-450a-87e7-88e68030d372,564,10000,0,158.13
01014b43-abef-49d5-97e4-86cd72e85699,496,10000,7,599
01022148-e64d-46f5-af8d-b5b1a08ec7c9,569,20000,6,599
0102ec28-ec64-4d91-8646-2f2afb97d240,556,16000,10,5880.6
01035877-2c55-4712-aefe-5241fa4e7145,540,15000,3,413
01035a37-ddcd-4b69-b472-2312d8f1f75e,645,110000,6,699
01050606-38ef-4cd5-90ff-8ae651b25042,639,50000,7,1034.1
010625fa-978e-4484-9f3d-f760e747d416,569,20000,4,1480
010863b6-ed2b-47c1-afcd-1c4e6750aed0,633,5000,2,3387
01087445-905d-4025-85af-04b293bcc46d,681,100000,8,4000
010cbb80-45a5-453b-91d9-214aee1f8320,556,30000,8,749
010e4c8e-515c-4e72-9dcb-fa8f7ed61fde,580,15000,4,416.7
010eac6f-64ef-4861-8212-6e9fad4ea708,523,20000,13,4519.35
010fe13b-858b-42ab-82c8-4b9a14f58a78,650,35000,8,559
0110fcc5-dba8-4e99-8562-458f2b6e3138,683,60000,7,647.99
0111b1a7-d7f6-4735-90f5-1fb0f6771e75,610,14000,14,3514
0112b720-01c0-4b37-94b7-a4faf2a46e6d,571,30000,9,1034
0114573e-cc84-43bc-a6d6-2e49bac8d3ae,576,25000,6,1349.99
0115d927-faab-459d-b9fd-b23fceaafc2e,527,15000,13,699
01160dd2-d2e5-41fd-afde-328bd9499133,520,15000,11,315.25
01164ad5-831a-43aa-85b8-50c68e2eb3ed,561,20000,3,3387
0116818b-6726-4cb9-94d1-4e9b97e68835,556,35000,5,355.48
0118ab48-66aa-4efc-8cc3-5043da8884eb,586,15000,10,479
0118c208-8152-4666-a20e-5ecfbcdcca89,634,30000,3,431.29
011a4e1a-74dc-49fc-aecf-9e7e5b7e1f82,505,45000,6,839
011af3f2-fb83-4bf0-952f-f7d933e0528d,555,19000,3,699
011bed8f-f143-4fcc-b444-92af6d9dc525,687,80000,7,599
011c0553-e42f-4fc0-b9a7-22a64c0764fd,638,10000,8,629.1
011c335e-0f96-4f44-a977-5bb8bb255614,528,40000,6,799
011c69d2-d4ec-4913-b431-5e4b6f785450,491,55000,6,699
011cb92a-85a0-46be-a414-9e4277765c3b,670,46000,6,730.5
011cfe31-ab8d-46ef-bb5d-f8c2d56e0f29,654,12000,7,892.8
011d6f54-9db9-4f00-8a85-997971a8b392,696,40000,7,789
011ed2c6-4b36-404b-b9c6-d7a5f9fb9187,576,21000,6,799
011f2ad2-cfc1-4293-ae48-c01c569efc1e,653,25000,5,810
0120e93f-7622-4c6c-90c6-4444da933325,572,25000,11,147.5
01224d5c-a943-420d-af95-12420e3c7266,508,15000,3,246.6
01237d93-493f-4914-b9c1-1755a503c007,662,40000,8,900
0123f9a3-2c47-409f-8762-002d2fd83648,585,30000,6,828.8
0124bb71-14e4-4971-9b68-058ff6e3695e,563,25000,2,800
0125068c-4045-4d31-ace1-67a66c7d6087,638,30000,11,599
012519b4-ae4e-4f51-a8ed-38296fbadec6,657,35000,5,616.32
0125bb0f-2b58-4074-9cfa-beb4b9f14311,630,30000,6,3387
012797ff-28b8-4274-ba4e-74141b7de163,628,25000,5,370
01280fa3-9ef1-40b0-a4fa-0ebb01229009,558,19000,6,3600
01281523-6b3f-4db4-9059-241ae7de6ecc,577,35000,9,539.1
012818f7-2e2c-4182-93b4-7e4c586edbb3,536,20000,6,5791
01295e3d-81d0-4b2f-84a4-eb204a350e6b,675,15000,7,1776.5
012965ff-1115-4053-b90c-0d9e9bfd276b,583,40000,3,2430
0129bc56-dc0f-4770-b31a-57d806e245bd,629,65000,11,1299.2
012a0a49-84ee-482d-b31e-8da3019f014e,468,10000,4,363.55
012a26b6-6280-4216-8604-1e1e2250e6f4,713,45000,20,1199
012acc61-d7d7-4345-8a53-c2fd756bb421,532,15000,15,749
012afd21-9a81-4eab-ad32-4e946f560de9,560,61000,21,599
012dc0ac-86ed-4c4b-8ac6-ab75699d5f40,628,90000,9,2730
012e2491-5468-46bd-bebb-34429f013166,595,20000,11,699
012f0936-347a-483e-8c75-0911632576bf,597,15000,7,599
012f4544-31e9-4479-b3d1-6080258db21b,568,20000,8,909
012f605d-9145-42df-a9c6-3dc210f54494,612,65000,5,704
01306e5f-2938-43f3-8cad-e7ddecf4279f,703,20000,8,5525.01
01313644-c727-4bbc-a43b-4ee122980012,514,15000,4,3387
013177fe-0eb1-4c77-8474-5e8165415582,662,35000,12,264.6
0131f36a-eb50-4b4f-ae48-6cdb148fb840,514,25000,4,749
013339c5-b7a1-4fda-843f-1dbff9a07401,524,25000,7,2232
01335ce6-4ac7-48ce-9d68-471c127d1cdf,628,35000,11,654
0133d7d5-28d9-4f15-8e41-5d9edce1c50f,534,15000,9,559
0133dd21-d9ed-4765-ae04-583ea9075670,594,14000,3,3458.5
01351d5d-29d9-4d72-9720-cf59ab39fc2f,583,20000,6,3387
01361076-847c-41f8-bc00-1b120fd8b759,511,15000,7,844
01364fa9-a3f8-45ad-8882-97634c017cfc,672,15000,15,3068
01386693-d124-4601-aa1d-b87d440f1ffa,655,25000,11,474.99
013accf9-1af7-40ba-baa9-19a3f962ab09,513,15000,4,190
013ae21e-c798-4031-98c6-a07d42c38a20,643,18000,4,1552.66
013c6140-9e91-4412-b6ad-29f6b8a4a44d,552,65000,12,195
013e3163-02c7-4478-979a-4454438716ee,639,15000,9,849
013ef351-4c26-4835-9977-f8ea20ae17a2,671,20000,8,828.8
0143404d-20cc-4658-8a4b-491e0d345d2a,597,30000,2,764
0143b529-a359-4bb7-97be-fb1a6072c219,657,50000,13,536.74
0144575f-6410-4e1d-ad3b-2feff182ac5f,554,20000,2,3988
01457882-90b9-4743-b812-9f9d0a302f5d,653,48000,6,509.15
014871bb-e2ce-4bfc-8115-c359bf5dfdb4,601,10000,9,2445
0148ca45-24ad-4939-87ce-7eb3e55773b1,612,10000,2,576
0148cfcb-bfc9-4a96-8a22-50a0810caac6,724,15000,6,1025
014912bb-a065-405f-b885-c3eb889bc287,687,115000,13,1166.25
014b16b2-d423-45cc-83af-74464ba5465c,523,5000,7,2588
014b889f-b507-4fe8-8fa9-8f4b56c203dc,629,14500,6,6592
014c90a3-8031-414d-be8c-5bf61c125b43,720,60000,10,2760
014c9403-e076-4a04-8ee9-1bd6a125bf02,489,20000,5,2160
014d720f-f65d-4cf0-bef3-061138194131,630,29700,9,699
014f1575-0ab6-499b-9981-f18e735b281b,563,20000,9,599
014f84dd-be3b-46a6-bfbd-4a0f4168e0c9,574,15000,2,2304
014f95ef-acc2-4693-8a5e-a86abc1b9079,576,13500,4,1290
01536690-c2f4-4c61-afa4-5907a8f82a23,578,10000,9,700.2
01541be3-5447-4f4c-ba13-56dc60f17027,533,15000,5,399
01560bf8-d643-4793-8fed-c407ba5ca1b0,685,35000,16,699
0156a0d3-b279-4087-891c-ef1b530f1475,661,70000,9,1440
0157755a-1512-4bdc-b9bf-5c3a08b60092,631,15000,6,1979.1
0157a7ab-bc7b-476d-824b-9d99b0ceda08,564,5000,6,464.39
0157eb0e-ce3e-4671-a210-b939c46965d0,531,10000,11,649
01587da3-1735-4028-81c5-67a242bc90ae,575,25000,7,1080
0158b5ee-e421-40a8-8ad9-77a8b348da4c,619,15000,16,272.24
015b2b9b-756e-4d99-a405-b4b306f5cf71,627,39888,9,699
015b5135-1c04-4668-9798-1a24d7b6ea11,612,20000,5,599
015c8fba-97b3-4b36-a727-be6b85e883c8,628,50000,12,599
015f2d02-0a64-4a6f-bd3d-2c19d3707c11,533,20000,0,1177
01604168-4639-42b6-98d0-c073d9b955b0,597,10000,5,1328.4
01607352-2adc-4fd1-97a3-71f15805397f,655,22800,5,3750
016398b6-1f77-4c4f-b560-05883e7322d8,594,10000,9,4515
01650c5e-ca29-41d8-9078-11eb5e923d73,542,25000,5,699
01657cae-f70c-451e-b5b7-e7cc176cda70,628,15000,5,828.8
01658194-4338-473b-a958-979a1279585f,616,15000,4,2445
01664d8f-2089-4471-877b-01826028213f,588,70000,4,599
0168f64c-b665-46af-bb0c-01c9fc19092e,657,50000,5,745
016a4097-f9ed-4850-a090-0df411c9b7fd,605,70000,9,2850
016bbb96-0eb4-41f1-abe6-6fcf31a7913d,527,20000,3,3387
016e18f3-dcaa-411f-8f0f-18ba2c5db048,521,10000,2,3387
016e1c68-66aa-446c-96f5-51ee1d11cd45,545,20000,3,599
016e4ced-4bb5-403e-96f1-712407604e93,698,25000,14,479
016e55ea-d1e1-4a63-93c4-4464d1a6ec7f,523,30000,9,2688
016ffd40-41e2-4a33-bc91-2c26aa29811f,555,40000,8,595
01704bf3-33af-415e-aee7-809849a4d1bc,643,50000,5,819
01705c97-df95-4ad8-8cf3-9067513bef2a,651,15000,9,508.98
0171af44-b080-400c-82d2-a6e12164bb9d,519,35000,8,190
01730874-43c6-4b1e-bdaf-a0a35a8bf34d,574,10000,9,589
01735732-5eee-4481-ad3c-59bc63e50dd2,652,50000,9,479
0174ea1a-cf03-473a-88b9-7d9fbea054fe,517,5000,6,689
01754795-ede6-40ae-adcd-f12a8f6131bc,593,15000,6,649
01759804-97dd-4689-94ee-5e2e1335787a,505,15000,9,864
0176b0f8-1645-4cf9-9242-345e7e6f2fbb,674,10000,7,599
01787dad-5b9e-476b-b0be-849fae1c5fc3,650,45000,12,278.87
0178997e-8985-4170-aa1f-c6693f708de6,584,30000,10,3387
0179dbe1-768d-4680-ba7e-3c5e31b7ef3a,641,40000,11,749
017a1f91-bebe-4d0d-bb81-2820efa4ef22,564,14000,4,869
017a8ee1-9cc2-4caa-8daa-7e8399765900,559,30000,2,450
017aa4ff-f8f7-4ed7-a531-a45cc05831c4,646,40000,7,190
017afceb-4ef0-42ec-a19a-57a40f7fa5a5,727,40000,4,1890
017c216d-e2ce-43c2-9b30-50ee0898cc57,546,20000,3,828.8
017cbb98-7aa6-4dc9-b1f8-71b7c16b84fe,684,30000,8,875
017cdc01-cb4c-4c7c-b00e-e2538027745a,652,45000,7,929.3
017cfa03-3312-49db-96d9-e5e6c887538e,684,20000,7,536.74
017d6df0-3cbe-4ed5-861c-7ac0975b40ff,662,25000,8,723.8
017e19ef-04d7-4c25-9b7e-42c00ddd9c9d,567,15000,9,1978.2
017f7a9e-80d1-4bc7-a599-e6354bad71a3,655,60000,12,14850
0180a332-7063-4c06-89d1-d1a1e06b8676,582,15000,8,599
0180a8c3-8493-454d-8844-20de4313381f,679,20000,8,4050
018107a4-5fe7-4e0f-9697-72eb2aae3d73,533,10000,7,2425.5
018191ce-10b2-4d05-b67e-49b0c2818ff7,553,25000,9,850
01827fad-3944-46ee-981d-343314cd2a4a,686,25000,6,699
01832892-e83c-4409-b31d-ce4f624e6ef0,669,40000,9,899.1
01834886-3bc1-42e0-983a-74f52cce1a71,616,25000,4,773
018350b8-e43f-4b58-8977-5bd41208184b,513,20000,3,1080
0183d106-507d-4d98-9caa-90129c119985,558,25000,5,639
0183ef90-89f6-4293-bbb0-8fa96fe7aefa,569,10000,10,602.1
0184573d-84a2-4ab2-a8ec-74d7c6d104f9,626,20000,2,215.14
0184592a-1edc-4f5b-91fd-88d1b36f7980,505,25000,2,275
01853b61-0671-43e1-a6e2-dff96b8eefeb,558,20000,2,431.96
01869268-50a3-4e8b-9c6f-b9c79ac9166c,513,30000,11,599
0186fc8e-9e82-4c50-bdca-85da9f4b1b81,579,40000,11,799
01889104-a87a-44ca-a188-079333fe8e00,649,25000,4,1148.16
018b9f24-7aba-48a9-b9c7-14be75b4d6fa,662,79000,2,545.09
018cddc5-2f4e-454d-8835-0d7899ce1d72,537,15000,4,267.37
018e8678-7203-4d60-86f0-ea35d9c69eb2,609,20000,3,1300
018f4612-7427-4b2d-9e04-5efde1b9a9e1,587,30000,3,589
0191638a-cd36-41a5-905f-3957e9726406,623,20000,8,791.2
0192f134-5387-4d9b-a3ce-f265dabe2a52,679,30000,11,619
019319b5-e61b-4777-91d2-04382d0d9694,661,10000,7,699
01934ef4-af43-4222-89d8-603652378e5d,541,30000,7,429
0195b8cb-f5fb-4e62-b2ed-10b78e4d150e,671,50000,1,399
01975f2c-2f15-4107-94be-570c5bbd5558,540,25000,2,599
01993a81-b8a8-4325-b9e4-0d449a632f37,529,25000,7,343.79
0199843e-38fb-4248-a54b-b20a41a81d24,634,25000,3,3387
019c1158-ac46-40ab-8941-3b8ef0bc515b,518,35000,9,631.2
019c51cc-f80b-45e5-84d8-13993020596f,604,20000,4,2722
019c6a6b-b276-49b8-b210-6a35ba919143,630,15000,10,849
019e584a-5754-40e0-97f5-7684a8196fc9,521,20000,14,496
019ed76f-4313-4d45-a410-3d3ee9301087,559,10000,9,449
